stop_id,stop_name,lat,lng,zone,district,verified,note
S0132,Maitighar Stop--South,27.694112,85.319308,Kathmandu,KATHMANDU,,
S0097,Maitighar,27.694511,85.320393,Kathmandu,KATHMANDU,,
S0130,Kalanki,27.694169,85.284891,Kathmandu,KATHMANDU,,
S0015,Hanumanthan Stop,27.693522,85.327603,Kathmandu,KATHMANDU,,
S0180,Sangam Chowk Stop,27.693196,85.340502,Kathmandu,KATHMANDU,,
S0383,Harharmahadev,27.693,85.372,Madhyapur Thimi,BHAKTAPUR,,
S0028,Babarmahal,27.692306,85.324255,Kathmandu,KATHMANDU,,
S0099,Babarmahal Stop West,27.692302,85.324255,Kathmandu,KATHMANDU,,
S0167,ShivaDarshan Hall Stop,27.692336,85.336217,Kathmandu,KATHMANDU,,
S0033,Bijulibazar Stop,27.692292,85.329614,Kathmandu,KATHMANDU,,
S0185,Thapathali,27.690529,85.317561,Kathmandu,KATHMANDU,,
S0259,New Baneshwor East,27.6915196,85.3420486,Kathmandu,KATHMANDU,,
S0304,Naya Baneshwor Chowk,27.688259,85.335585,Kathmandu,KATHMANDU,,
S0372,Pepsicola,27.689850,85.363115,Kathmandu,KATHMANDU,,
S0275,Dui Adda (Dhunga Adda),27.691351,85.275754,Chandragiri,KATHMANDU,,
S0108,Thapagaun Stop,27.691133,85.334031,Kathmandu,KATHMANDU,,
S0292,Bosigaun Chowk / Checkpost,27.690812,85.269415,Chandragiri,KATHMANDU,,
S0075,New Baneshwor West,27.690327,85.335954,Kathmandu,KATHMANDU,,
S0062,Babarmahal Stop East,27.689370,85.330811,Kathmandu,KATHMANDU,,
S0270,Tribhuwan Park,27.689954,85.220857,Chandragiri,KATHMANDU,,
S0345,Khasi Bazaar,27.6895,85.2845,Kathmandu,KATHMANDU,,
S0034,Buddhanagar Stop,27.690084,85.329008,Kathmandu,KATHMANDU,,
S0156,Pepsi Cola Chowk,27.689143,85.360363,Kathmandu,KATHMANDU,,
S0291,Naikap Bus Stop,27.689104,85.263889,Chandragiri,KATHMANDU,,
S0119,Thankot Checkpost,27.689002,85.227229,Chandragiri,KATHMANDU,,
S0069,Naya Baneshwor Tampoo Station,27.688259,85.335585,Kathmandu,KATHMANDU,,
S0063,Kupondole stop,27.688005,85.316248,Lalitpur,LALITPUR,,
S0377,Khahare,27.698068,85.365320,Kathmandu,KATHMANDU,,
S0029,Minbhawan,27.687613,85.338471,Kathmandu,KATHMANDU,,
S0378,Khahare Chowk,27.696629,85.366264,Kathmandu,KATHMANDU,,
S0053,Gairigaun Stop,27.687376,85.350562,Kathmandu,KATHMANDU,,
S0127,Shantinagar Stop,27.687005,85.341368,Kathmandu,KATHMANDU,,
S0008,Sataungal,27.686988,85.2506,Chandragiri,KATHMANDU,,
S0054,Nikap,27.686091,85.26229,Chandragiri,KATHMANDU,,
