stop_id,stop_name,current_lat,current_lng,geocoded_lat,geocoded_lng,distance_m,status
S0086,Tourism Board Stop,27.702332,85.3168,27.7018155,85.3170786,63.6,OK
S0087,Lainchaur stop,27.718757,85.317697,27.7194096,85.315162,259.9,OK
S0088,Bhadrakali,27.699352,85.317713,27.766667,85.35,8131.7,MISMATCH
S0089,Suryabinayek,27.66574,85.424212,,,,NOT_FOUND
S0090,Sitapaila Stop,27.7086,85.2868,27.7074532,85.2824928,442.8,OK
S0092,Gathaghar,27.674014,85.373177,,,,NOT_FOUND
S0094,Krishna Pauroti Stop,27.710369,85.322281,27.7102249,85.3223654,18.0,OK
S0095,Sallaghari Stop,27.669934,85.41116,27.7020102,85.3110678,10481.0,MISMATCH
S0096,Budhanilkantha Micro Stand,27.776459,85.361934,,,,NOT_FOUND
S0097,Maitighar,27.693965,85.320962,27.6943461,85.3198448,117.9,OK
S0098,Tinkune Bhaktapur,27.672289,85.406828,,,,NOT_FOUND
S0099,Babarmahal Stop West,27.692337,85.3244,,,,NOT_FOUND
S0100,RNAC stop,27.70221,85.313638,27.7027682,85.3134888,63.8,OK
S0101,MAV School,27.657068,85.326288,,,,NOT_FOUND
S0102,New Plaza Stop,27.700951,85.322918,27.7007581,85.3233339,46.2,OK
S0103,Jawlakhel Stop,27.672577,85.314174,,,,NOT_FOUND
S0104,Lubhu Bus Stop,27.642901,85.373398,,,,NOT_FOUND
S0105,Bhatbhatini Stop,27.719211,85.331082,27.7262292,85.3022218,2946.0,MISMATCH
S0106,Nakhu Stop,27.668972,85.306293,27.6599852,85.3075736,1007.2,MISMATCH
S0107,Koteshwor Stop,27.6802001,85.3494489,27.6734413,85.342163,1039.0,MISMATCH
S0108,Thapagaun Stop,27.691133,85.334031,27.692798,85.2775141,5567.6,MISMATCH
S0109,Chapal Karkhana stop,27.734807,85.342234,27.7346691,85.3433942,115.2,OK
S0110,Thimi Stop,27.673336,85.386293,27.6645294,85.3856216,981.5,MISMATCH
S0112,Lagankhel Stop,27.6668,85.3219,,,,NOT_FOUND
S0113,Balaju,27.7275,85.3005,27.7309464,85.2980817,451.1,OK
S0115,Milan Chowk Stop,27.695169,85.340638,27.695048,85.340662,13.7,OK
S0117,Sanga,27.641915,85.477679,27.675228,85.3422825,13839.9,MISMATCH
S0118,Dhumbarahi,27.731787,85.344365,27.7250256,85.34074,832.2,MISMATCH
S0119,Thankot Checkpost,27.689002,85.227229,,,,NOT_FOUND
S0120,Gothatar,27.703133,85.369443,27.6927882,85.3712973,1164.7,MISMATCH
S0121,Banepa Tindobato,27.631218,85.51877,,,,NOT_FOUND
S0123,Naxal Bhagwati,27.712698,85.328691,27.7135879,85.325795,301.8,OK
S0124,Teaching Hospital stop,27.734523,85.330711,27.7361084,85.3301725,184.1,OK
S0125,Attarkhel,27.734548,85.382452,27.7367691,85.3838229,281.4,OK
S0126,Maitidevi Temple stop,27.706412,85.333733,27.707505,85.325639,806.0,MISMATCH
S0127,Shantinagar Stop,27.687086,85.341372,27.7369669,85.3627442,5932.1,MISMATCH
S0129,Bungmati,27.62857,85.304032,,,,NOT_FOUND
S0130,Kalanki,27.6938,85.2818,27.6956114,85.2796064,295.3,OK
S0133,Saughal,27.670479,85.327219,,,,NOT_FOUND
S0134,Gopi Krishna Stop,27.720629,85.346099,27.721682,85.3457274,122.7,OK
S0135,Jorpati,27.721763,85.372632,27.7219909,85.3730523,48.5,OK
S0136,Banepa,27.630047,85.523985,27.67766,85.3482382,18101.4,MISMATCH
S0137,Ghantaghar (घण्टाघर) stop,27.708043,85.317116,27.7075045,85.3168184,66.7,OK
S0138,Khumaltar Stop,27.65382,85.329107,,,,NOT_FOUND
S0139,Sinamangal/Ring Road Stop सिनामंगल,27.6983,85.3533,,,,NOT_FOUND
S0140,Gokarna Bus Stop,27.740306,85.39072,27.7406116,85.3904151,45.3,OK
