route_id,route_name,short_name,vehicle_type,route_type,operator,start_stop_id,end_stop_id,total_stops,approx_distance_km,estimated_duration_min,service_start_time,service_end_time,frequency_min,fare_type,has_ac,is_express,status,created_at,updated_at,operator_id,return_leg_verified,operator_id_raw,is_multi_operator,haversine_distance_km,max_consecutive_stop_jump_km,approx_distance_km_original,distance_flagged_for_recompute,status_original,status_corrected_for_return_leg,is_bidirectional
R2276770,Purano Bus Park-Thimi,10,microbus,public,Madhyapur Thimi Yatayat,S0198,S0021,25,11.91,66.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-17T03:46:04Z,OP027,False,OP027,False,9.957,0.871,8.92,False,active,False,True
R2276999,Shobhabhagwati-Koteshwore,Annapurna A,tempo,public,Samyukta Yatayat,S0003,S0107,19,10.33,52.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-17T03:46:04Z,OP020,False,OP020,False,8.43,1.255,8.26,False,pending_release,False,True
R2277212,Koteshwor - Ratna Park,annapurna B,tempo,public,Digo Yatayat,S0198,S0107,15,8.88,43.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-17T03:46:04Z,OP011,False,OP011,False,7.163,1.255,6.99,False,active,True,True
R2282031,Ratna Park - Kirtipur,21,bus;microbus,public,Samyukta Yatayat,S0198,S0041,16,8.16,50.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-17T03:46:04Z,OP020,False,OP020,False,8.5,1.796,8.16,False,active,False,True
R2282101,Ratna Park - Sundarijal,2,bus,public,Gokarneshwor Yatayat,S0040,S0198,20,13.45,74.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-17T03:46:04Z,OP002,False,OP002,False,14.037,3.413,13.45,False,active,True,True
R2294107,Ratna Park-Gwarko,14,tempo,public,Bagmati Yatayat,S0020,S0013,19,5.94,44.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-17T03:46:04Z,OP014,False,OP014,False,6.093,0.851,5.94,False,active,False,True
R2295734,Ratna Park-Budhanilkantha School,5,microbus,public,Dhumrabaraha Yatayat,S0013,S0143,16,9.73,55.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-17T03:46:04Z,OP012,False,OP012,False,9.734,2.856,9.73,False,pending_release,False,True
R2295768,Ratnapark-Mangal Bazaar,14,tempo,public,Bagmati Yatayat,S0013,S0154,15,4.77,35.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-17T03:46:04Z,OP014,False,OP014,False,4.768,0.851,4.77,False,active,False,True
R2295902,KattyaniChowk-Sundhara,1 MA,tempo,public,Samakhusi Yatayat,S0076,S0006,16,4.56,34.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-17T03:46:04Z,OP021,False,OP021,False,4.557,0.583,4.56,False,active,False,True
R2295903,Sundhara-Milanchowk-KattyaniChowk,1 MA,tempo,public,Samakhusi Yatayat,S0076,S0006,19,5.29,40.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-17T03:46:04Z,OP021,False,OP021,False,5.293,0.583,5.29,False,active,True,True
R2295941,Old Baneshwar-Sundhara,1 MA,tempo,public,Samakhusi Yatayat,S0076,S0205,15,5.632,31.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-17T03:46:04Z,OP021,False,OP021,False,3.922,0.583,3.92,False,active,False,True
R2295942,Sundhara-Purano Baneshwar,1 MA,tempo,public,Samakhusi Yatayat,S0076,S0046,20,5.27,41.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-17T03:46:04Z,OP021,False,OP021,False,5.266,0.583,5.27,False,active,True,True
R2295986,Sundhara-Shankhamul,1,microbus,public,Local Microbus,S0018,S0076,17,5.58,42.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-17T03:46:04Z,OP030,False,,False,5.461,0.885,5.58,False,pending_release,False,True
