route_id,stop_id,sequence_no
R-SAJHA-08,S0236,12
R-SAJHA-08,S0152,13
R2276770,S0198,1
R2276770,S0086,2
R2276770,S0088,3
R2276770,S0036,4
R2276770,S0097,5
R2276770,S0028,6
R2276770,S0099,7
R2276770,S0034,8
R2276770,S0062,9
R2276770,S0069,10
R2276770,S0029,11
R2276770,S0127,12
R2276770,S0017,13
R2276770,S0203,14
R2276770,S0107,15
R2276770,S0159,16
R2276770,S0022,17
R2276770,S0004,18
R2276770,S0092,19
R2276770,S0007,20
R2276770,S0110,21
R2276999,S0003,1
R2276999,S0207,2
R2276999,S0193,3
R2276999,S0152,4
R2276999,S0166,5
R2276999,S0137,6
R2276999,S0042,7
R2276999,S0094,8
R2276999,S0210,9
R2276999,S0083,10
R2276999,S0126,11
R2276999,S0035,12
R2276999,S0222,13
R2276999,S0016,14
R2276999,S0148,15
R2276999,S0027,16
R2276999,S0139,17
R2276999,S0053,18
R2276999,S0107,19
R2277212,S0198,1
R2277212,S0137,2
R2277212,S0094,3
R2277212,S0042,4
R2277212,S0005,5
R2277212,S0055,6
R2277212,S0035,7
R2277212,S0222,8
R2277212,S0016,9
R2277212,S0148,10
R2277212,S0027,11
R2277212,S0139,12
R2277212,S0053,13
R2277212,S0107,14
R2282031,S0198,1
R2282031,S0086,2
R2282031,S0067,3
R2282031,S0076,4
R2282031,S0056,5
R2282031,S0023,6
R2282031,S0230,7
R2282031,S0233,8
R2282031,S0225,9
R2282031,S0043,10
R2282031,S0049,11
R2282031,S0047,12
R2282031,S0221,13
R2282031,S0084,14
R2282031,S0085,15
R2282031,S0041,16
R2282101,S0040,1
R2282101,S0140,2
R2282101,S0125,3
R2282101,S0135,4
R2282101,S0026,5
R2282101,S0172,6
R2282101,S0195,7
R2282101,S0052,8
R2282101,S0204,9
R2282101,S0045,10
R2282101,S0083,11
R2282101,S0210,12
R2282101,S0094,13
R2282101,S0042,14
R2282101,S0005,15
R2282101,S0066,16
R2282101,S0086,17
R2282101,S0198,18
R2294107,S0020,1
R2294107,S0141,2
