route_id,stop_id,sequence_no
R3070262,S0097,6
R3070262,S0028,7
R3070262,S0099,8
R3070262,S0034,9
R3070262,S0062,10
R3070262,S0069,11
R3070262,S0029,12
R3070262,S0127,13
R3070262,S0017,14
R3070262,S0203,15
R3070262,S0107,16
R3070262,S0159,17
R3070262,S0156,18
R3070344,S0054,1
R3070344,S0130,2
R3070344,S0023,3
R3070344,S0056,4
R3070344,S0185,5
R3070344,S0132,6
R3070344,S0097,7
R3070344,S0028,8
R3070344,S0099,9
R3070344,S0034,10
R3070344,S0062,11
R3070344,S0069,12
R3070344,S0029,13
R3070344,S0127,14
R3070344,S0017,15
R3070344,S0203,16
R3070344,S0107,17
R3070344,S0159,18
R3070344,S0022,19
R3070344,S0004,20
R3071402,S0140,1
R3071402,S0125,2
R3071402,S0135,3
R3071402,S0026,4
R3071402,S0172,5
R3071402,S0195,6
R3071402,S0134,7
R3071402,S0217,8
R3071402,S0118,9
R3071402,S0109,10
R3071402,S0030,11
R3071402,S0044,12
R3071402,S0065,13
R3071402,S0187,14
R3071402,S0169,15
R3071402,S0174,16
R3071402,S0113,17
R3071402,S0212,18
R3071402,S0228,19
R3071402,S0162,20
R3071402,S0090,21
R3071402,S0130,22
R3071562,S0069,1
R3071562,S0029,2
R3071562,S0127,3
R3071562,S0017,4
R3071562,S0203,5
R3071562,S0107,6
R3071562,S0024,7
R3071562,S0220,8
R3071562,S0020,9
R3071562,S0182,10
R3071562,S0011,11
R3071562,S0219,12
R3071562,S0194,13
R3071562,S0112,14
R3071562,S0223,15
R3071562,S0155,16
R3071562,S0213,17
R3071562,S0103,18
R3071562,S0116,19
R3071562,S0142,20
R3071562,S0168,21
R3071562,S0063,22
R3071562,S0185,23
R3071562,S0132,24
R3071562,S0097,25
R3071562,S0028,26
R3071562,S0099,27
R3071562,S0034,28
R3071562,S0062,29
R3072924,S0232,1
R3072924,S0008,2
R3072924,S0054,3
R3072924,S0130,4
R3072924,S0023,5
R3072924,S0056,6
R3072924,S0185,7
R3072924,S0132,8
R3072924,S0036,9
R3072924,S0102,10
R3072924,S0005,11
R3072924,S0042,12
R3072924,S0094,13
R3072924,S0210,14
R3072924,S0083,15
R3072924,S0045,16
R3072924,S0204,17
R3072924,S0052,18
R3072924,S0195,19
R3072924,S0134,20
R3072924,S0078,21
R3072924,S0002,22
R3074202,S0002,1
R3074202,S0078,2
R3074202,S0134,3
R3074202,S0195,4
R3074202,S0052,5
R3074202,S0204,6
R3074202,S0222,7
R3074202,S0035,8
R3074202,S0055,9
R3074202,S0005,10
R3074202,S0031,11
R3074202,S0013,12
R3101629,S0219,1
R3101629,S0194,2
R3101629,S0112,3
R3101629,S0223,4
R3101629,S0011,5
R3101629,S0101,6
R3101629,S0138,7
R3101629,S0032,8
R3102120,S0112,1
R3102120,S0223,2
R3102120,S0020,3
R3102120,S0104,4
R3102120,S0200,5
R3102124,S0100,1
R3102124,S0171,2
R3102124,S0166,3
R3102124,S0152,4
R3102124,S0193,5
R3102124,S0087,6
R3102124,S0188,7
R3102124,S0051,8
R3102124,S0197,9
R3102124,S0105,10
R3102124,S0093,11
R3102124,S0109,12
R3102124,S0118,13
R3102124,S0072,14
R3102319,S0112,1
R3102319,S0223,2
R3102319,S0103,3
R3102319,S0214,4
R3102319,S0179,5
R3102319,S0129,6
R3102319,S0269,7
R3102605,S0090,1
R3102605,S0211,2
R3102605,S0162,3
R3102605,S0228,4
R3102605,S0212,5
R3102605,S0113,6
R3102605,S0174,7
R3102605,S0169,8
R3102605,S0187,9
R3102605,S0065,10
R3102605,S0030,11
R3102605,S0044,12
R3102605,S0109,13
R3102605,S0118,14
R3102605,S0217,15
R3102605,S0134,16
R3102605,S0195,17
R3102605,S0052,18
R3102605,S0204,19
R3102605,S0071,20
R3102605,S0070,21
R3102605,S0139,22
R3102605,S0053,23
R3102605,S0107,24
R3102605,S0024,25
R3102605,S0220,26
R3102605,S0020,27
R3102605,S0182,28
R3102605,S0011,29
R3102605,S0214,30
R3102605,S0106,31
R3102605,S0189,32
R3102605,S0230,33
R3102605,S0233,34
R3102605,S0345,35
R3102605,S0130,36
R3203278,S0070,1
R3203278,S0139,2
R3203278,S0347,3
R3203278,S0204,4
R3203278,S0348,5
R3203278,S0126,6
R3203278,S0083,7
R3203278,S0338,8
R3203278,S0339,9
R3203278,S0341,10
R3203278,S0005,11
R3203278,S0013,12
R3204165,S0110,1
R3204165,S0323,2
R3204165,S0147,3
R3204165,S0022,4
R3204165,S0159,5
R3204165,S0107,6
R3204165,S0017,7
R3204165,S0127,8
R3204165,S0075,9
R3204165,S0097,10
R3204165,S0031,11
R3204165,S0013,12
R3211395,S0161,1
R3211395,S0199,2
R3211395,S0089,3
R3211395,S0095,4
R3211395,S0202,5
R3211395,S0325,6
R3211395,S0022,7
R3211395,S0159,8
R3211395,S0107,9
R3211395,S0017,10
R3211395,S0304,11
R3211395,S0097,12
R3211395,S0088,13
R3211395,S0013,14
R3213434,S0130,1
R3213434,S0211,2
R3213434,S0353,3
R3213434,S0228,4
R3213434,S0212,5
R3213434,S0113,6
R3213434,S0349,7
R3213434,S0174,8
R3213434,S0187,9
R3213434,S0065,10
R3213434,S0044,11
R3213434,S0354,12
R3213434,S0118,13
R3213434,S0217,14
R3213434,S0355,15
R3213434,S0195,16
R3213434,S0204,17
R3213434,S0070,18
R3213434,S0139,19
R3213434,S0053,20
R3213434,S0107,21
R3214592,S0107,1
R3214592,S0017,2
R3214592,S0127,3
R3214592,S0029,4
R3214592,S0304,5
R3214592,S0028,6
R3214592,S0097,7
R3214592,S0185,8
R3214592,S0056,9
R3214592,S0276,10
R3214592,S0023,11
R3214592,S0271,12
R3214592,S0130,13
R3218289,S0135,1
R3218289,S0026,2
R3218289,S0195,3
R3218289,S0204,4
R3218289,S0139,5
R3218289,S0017,6
R3218289,S0075,7
R3218289,S0028,8
R3218289,S0097,9
R3218289,S0185,10
R3218289,S0063,11
R3218289,S0234,12
R3218289,S0103,13
R3218289,S0214,14
R3229256,S0135,1
R3229256,S0026,2
R3229256,S0195,3
R3229256,S0204,4
R3229256,S0348,5
R3229256,S0126,6
R3229256,S0338,7
R3229256,S0339,8
R3229256,S0005,9
R3229256,S0013,10
R3229256,S0385,11
R3229256,S0056,12
R3229256,S0276,13
R3229256,S0023,14
R3229256,S0271,15
R3229256,S0130,16
R3229256,S0291,17
R3232098,S0044,1
R3232098,S0124,2
R3232098,S0082,3
R3232098,S0149,4
R3232098,S0087,5
R3232098,S0152,6
R3232098,S0166,7
R3232098,S0067,8
R3232098,S0056,9
R3232098,S0185,10
R3232098,S0063,11
R3232098,S0234,12
R3232098,S0103,13
R3232098,S0112,14
R3232098,S0194,15
R3232098,S0011,16
R3236048,S0107,1
R3236048,S0053,2
R3236048,S0139,3
R3236048,S0070,4
R3236048,S0204,5
R3236048,S0350,6
R3236048,S0123,7
R3236048,S0351,8
R3236048,S0149,9
R3236048,S0087,10
R3236048,S0079,11
R3236048,S0113,12
R3236048,S0349,13
R3236048,S0174,14
R3255302,S0089,1
R3255302,S0095,2
R3255302,S0325,3
R3255302,S0022,4
R3255302,S0107,5
R3255302,S0024,6
R3255302,S0020,7
R3255302,S0011,8
R3255302,S0214,9
R3255302,S0230,10
R3255302,S0358,11
R3255302,S0221,12
R3255302,S0043,13
R3271482,S0112,1
R3271482,S0103,2
R3271482,S0234,3
R3271482,S0063,4
R3271482,S0185,5
R3271482,S0097,6
R3271482,S0028,7
R3271482,S0075,8
R3271482,S0029,9
R3271482,S0127,10
R3271482,S0017,11
R3271482,S0107,12
R3277397,S0089,1
R3277397,S0095,2
R3277397,S0022,3
R3277397,S0107,4
R3277397,S0053,5
R3277397,S0139,6
R3277397,S0070,7
R3277397,S0204,8
R3277397,S0195,9
R3277397,S0355,10
R3277397,S0217,11
R3277397,S0118,12
R3277397,S0065,13
R3277397,S0187,14
R3277397,S0174,15
R3283810,S0013,1
R3283810,S0067,2
R3283810,S0056,3
R3283810,S0276,4
R3283810,S0023,5
R3283810,S0271,6
R3283810,S0246,7
R3283810,S0130,8
R3283810,S0345,9
R3283810,S0346,10
R3283810,S0291,11
R3288696,S0112,1
R3288696,S0103,2
R3288696,S0234,3
R3288696,S0063,4
R3288696,S0185,5
R3288696,S0056,6
R3288696,S0067,7
R3288696,S0013,8
R3296530,S0107,1
R3296530,S0024,2
R3296530,S0020,3
R3296530,S0182,4
R3296530,S0011,5
R3296530,S0352,6
R3296530,S0214,7
R3296530,S0258,8
R3296530,S0189,9
R3296530,S0230,10
R3296530,S0130,11
R3297080,S0194,1
R3297080,S0112,2
R3297080,S0103,3
R3297080,S0214,4
R3297080,S0258,5
R3297080,S0189,6
R3297080,S0230,7
R3297196,S0174,1
R3297196,S0349,2
R3297196,S0113,3
R3297196,S0079,4
R3297196,S0087,5
R3297196,S0166,6
R3297196,S0152,7
R3297196,S0013,8
R3319772,S0079,1
R3319772,S0356,2
R3319772,S0357,3
R3319772,S0342,4
R3319772,S0087,5
R3319772,S0341,6
R3319772,S0152,7
R3319772,S0013,8
R3342445,S0337,1
R3342445,S0068,2
R3342445,S0051,3
R3342445,S0123,4
R3342445,S0083,5
R3342445,S0055,6
R3342445,S0005,7
R3342445,S0013,8
R3351750,S0344,1
R3351750,S0135,2
R3351750,S0026,3
R3351750,S0195,4
R3351750,S0083,5
R3351750,S0338,6
R3351750,S0339,7
R3351750,S0031,8
R3351750,S0013,9
