route_id,route_name,short_name,vehicle_type,route_type,operator,start_stop_id,end_stop_id,total_stops,approx_distance_km,estimated_duration_min,service_start_time,service_end_time,frequency_min,fare_type,has_ac,is_express,status,created_at,updated_at,operator_id,return_leg_verified,operator_id_raw,is_multi_operator,haversine_distance_km,max_consecutive_stop_jump_km,approx_distance_km_original,distance_flagged_for_recompute,status_original,status_corrected_for_return_leg,is_bidirectional
R2988809,Purano Bus Park - Sakhu,4,bus,public,Panchpokhari Yatayat,S0198,S0146,28,24.09,112,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP017,True,OP017,False,20.944,3.333,19.84,True,active,False,True
R2988810,Purano Bus Park- Budhanilkantha,5,bus,public,Dhumrabaraha Yatayat,S0198,S0096,19,10.68,63,06:00:00,20:00:00,15,distance_based,False,False,pending_release,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP012,True,OP012,False,10.684,2.856,10.68,False,pending_release,False,True
R2988835,Ratna Park - Thankot,20,microbus,public,Chandragiri Yatayat,S0013,S0119,11,10.79,55,06:00:00,20:00:00,15,distance_based,False,False,pending_release,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP004,True,OP004,False,10.603,2.312,10.79,False,pending_release,False,True
R2988890,Bagbazaar-Kamalbinayak,7,bus,public,Bhaktapur Minibus Samiti,S0031,S0025,32,18.62,100,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP003,True,OP003,False,16.195,1.246,14.59,True,active,False,True
R2988891,Panauti - Ratnapark,11,bus,public,Araniko Yatayat,S0198,S0208,37,36.82,162,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP024,True,OP024,False,32.019,4.892,28.83,True,active,False,True
R2988893,Ratnapark-Changu,,bus,public,Bhaktapur Minibus Samiti,S0031,S0224,31,23.18,115,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP003,True,OP003,False,20.154,4.489,18.55,True,active,False,True
R2988930,Kamal Binayak-Nagarkot,,bus,public,Bhaktapur Minibus Samiti,S0025,S0039,2,9.29,39,06:00:00,20:00:00,15,distance_based,False,False,pending_release,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP003,False,OP003,False,9.292,9.292,9.29,False,pending_release,False,True
R2988983,Chyamasingh to Ratnapark,,bus,public,Madhya Upatyaka Bus Samiti,S0145,S0198,36,20.46,109,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP005,True,OP005,False,17.792,1.11,15.81,True,active,False,True
R2988993,Ratnapark - Dhulikhel,12,bus,public,Mayur Yatayat,S0198,S0183,38,34.94,157,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP006,True,OP006,False,30.381,4.892,27.19,True,active,False,True
R2989012,Ratna Park - Daksinkali,22,bus,public,Dakshinkali Yatayat,S0198,S0173,13,13.3,67,06:00:00,20:00:00,15,distance_based,False,False,pending_release,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP025,True,OP025,False,13.643,6.874,13.3,False,pending_release,False,True
R2989021,Lagankhel-Chapagaun,,bus,public,Lagankhel Chapagaun Bus Sewa,S0219,S0060,7,10.87,43,06:00:00,20:00:00,15,distance_based,False,False,pending_release,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP028,True,OP028,False,9.451,5.665,8.97,True,pending_release,False,True
R2989027,Changu-Ratnapark,,bus,public,Bhaktapur Minibus Samiti,S0224,S0031,30,22.85,114,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP003,True,OP003,False,19.871,4.489,18.7,True,active,False,True
R2989036,Purano Bus Park - jorpati,2,bus,public,Gokarneshwor Yatayat,S0198,S0135,24,13.89,75,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP002,True,OP002,False,12.079,1.255,11.06,True,active,False,True
R2989052,Ratna Park - Chyamasingh,,bus,public,Madhya Upatyaka Bus Samiti,S0198,S0145,35,21.21,110,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP005,True,OP005,False,18.446,1.197,15.99,True,active,False,True
R3020174,Gothatar-Purano Buspark,,bus,public,Juneli Yatayat,S0198,S0120,17,13.77,64,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP015,True,OP015,False,11.973,1.788,11.15,True,active,True,True
R3020244,Attrekhle-Purano Buspark,,bus,public,Juneli Yatayat,S0198,S0125,25,15.87,83,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP015,True,OP015,False,13.798,1.719,12.77,True,active,False,True
R3068536,Kalanki- Lagankhel,,bus,public,Bagmati Yatayat,S0130,S0219,9,8.2,35,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP014,True,OP014,False,7.127,1.618,6.54,True,active,False,True
R3070257,kalanki-Balkumari,,bus,public,Digo Yatayat,S0130,S0220,18,12.02,59,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP011,True,OP011,False,10.45,1.811,8.82,True,active,True,True
R3070262,Kalanki-Pepsacola,,bus,public,Riddhi Siddhi Yatayat,S0130,S0156,18,13.34,66,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP018,True,OP018,False,11.599,1.811,10.14,True,pending_release,False,True
R3070344,Kausaltar-Naikap,40,bus,public,Chandragiri Yatayat,S0054,S0004,21,15.4,75,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP004,True,OP004,False,13.392,2.104,11.68,True,active,False,True
R3071402,Gokarna-Chabahil-Naya_Bus_Park-Balaju-kalanki,,bus,public,Gokarneshwor Yatayat,S0140,S0130,22,17.26,92,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP002,True,OP002,False,17.294,1.719,17.26,False,pending_release,False,True
R3071562,"Naya Baneshwor, Koteshwor, Satdobato, Lagankhel, Jaulakhel, Kupandol, Naya Baneshwor",,tempo,public,Mahanagar Yatayat,S0114,S0034,29,14.72,81,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP016,True,OP016,False,12.803,1.168,11.44,True,active,False,True
