route_id,route_name,vehicle_type,operator,total_stops,approx_distance_km,status
R2989074,Sakhu - Purano Bus Park,bus,Panchpokhari Yatayat,17,15.89,pending_release
R3020212,Dhokashi- Chobar gate- Ratnapark,bus;microbus,Samyukta Yatayat,13,8.45,pending_release
R2301357,Naya Baneshwor-Teaching,microbus,Tarakeshwor Yatayat,13,5.22,pending_release
R2989075,Jorpati - Purano Bus Park,bus,Gokarneshwor Yatayat,13,8.63,pending_release
R3074202,kapan-Chabahil-Mitidevi-Ratnapark,microbus,Nepal Yatayat,13,7.49,pending_release
R2988835,Ratna Park - Thankot,microbus,Chandragiri Yatayat,11,10.79,pending_release
R2988836,Thankot - Ratna Park,microbus,Chandragiri Yatayat,11,13.43,pending_release
R2307657,Lubhu - Lagankhel,bus,,11,5.62,pending_release
R3028077,Balaju-Ratnapark,microbus;tempo,Balaju Microbus and Tempo Samiti,10,4.07,pending_release
R3101629,Lagankhel-Satdobato-Khumaltar-Dhapakhel,microbus,Lalitpur Microbus Sewa Samiti,8,6.37,pending_release
R3102319,Lagankhel-Tika Bhairab,bus,Bagmati Yatayat,8,12.49,pending_release
R2989021,Lagankhel-Chapagaun,bus,,7,10.87,pending_release
R3102120,Lagankhel-Lamatar,bus,Bagmati Yatayat,5,8.59,pending_release
R2988930,Kamal Binayak-Nagarkot,bus,Bhaktapur Minibus Samiti,2,9.29,pending_release
