route_id,route_name,short_name,vehicle_type,route_type,operator,start_stop_id,end_stop_id,total_stops,approx_distance_km,estimated_duration_min,service_start_time,service_end_time,frequency_min,fare_type,has_ac,is_express,status,created_at,updated_at,operator_id,return_leg_verified,operator_id_raw,is_multi_operator,haversine_distance_km,max_consecutive_stop_jump_km,approx_distance_km_original,distance_flagged_for_recompute,status_original,status_corrected_for_return_leg,is_bidirectional
R2301306,Balkumari-Gopi Krishna,Nepal Yatayat,bus,public,Nepal Yatayat,S0024,S0134,27,12.78,85.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP007,False,OP007,False,13.440,1.123,12.75,False,active,False,True
R2989012,Ratna Park - Daksinkali,22,bus,public,Dakshinkali Yatayat,S0198,S0173,12,13.13,67.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP025,False,OP025,False,13.643,6.874,13.30,False,pending_release,False,True
R2301358,Teaching-NayaBaneshwar,-,microbus,public,Tarakeshwor Yatayat,S0124,S0028,18,12.21,58.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP019,False,OP019,False,11.252,2.327,10.35,False,pending_release,False,True
R2988993,Ratnapark - Dhulikhel,12,bus,public,Mayur Yatayat,S0198,S0183,34,27.70,157.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP006,False,OP006,False,28.806,4.892,27.19,False,active,False,True
R2294107,Ratna Park-Gwarko,14,tempo,public,Bagmati Yatayat,S0013,S0020,15,5.66,44.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP014,False,OP014,False,6.093,0.851,5.94,False,active,False,True
R2909799,Kamalbinayak-Ratnapark,7,bus,public,Bhaktapur Minibus Samiti,S0025,S0198,24,14.78,99.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP003,False,OP003,False,14.689,1.263,14.74,False,active,False,True
R2282031,Ratna Park - Kirtipur,21,bus;microbus,public,Samyukta Yatayat,S0076,S0041,15,8.31,50.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP020,False,OP020,False,8.500,1.796,8.16,False,active,False,True
R2295941,Old Baneshwar-Sundhara,1 MA,tempo,public,Samakhusi Yatayat,S0076,S0205,13,4.39,31.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP021,False,OP021,False,4.361,0.583,3.92,False,active,False,True
R2988983,Chyamasingh to Ratnapark,,bus,public,Madhya Upatyaka Bus Samiti,S0145,S0198,28,15.45,109.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP005,False,OP005,False,16.618,1.111,15.81,False,active,False,True
R2277212,Koteshwor - Ratna Park,annapurna B,tempo,public,Digo Yatayat,S0013,S0107,12,6.53,43.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP011,False,OP011,False,7.163,1.255,6.99,False,active,True,True
R2989036,Purano Bus Park - jorpati,2,bus,public,Gokarneshwor Yatayat,S0198,S0135,21,11.16,75.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP002,False,OP002,False,12.074,1.255,11.06,False,active,False,True
R2988891,Panauti - Ratnapark,11,bus,public,Araniko Yatayat,S0198,S0208,33,29.34,162.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP024,False,OP024,False,30.444,4.892,28.83,False,active,False,True
R3068536,Kalanki- Lagankhel,,bus,public,Bagmati Yatayat,S0130,S0219,7,7.07,35.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP014,True,OP014,False,7.106,1.618,6.54,False,active,False,True
R3071402,Gokarna-Chabahil-Naya_Bus_Park-Balaju-kalanki,,bus,public,Gokarneshwor Yatayat,S0140,S0130,22,17.26,92.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP002,False,OP002,False,17.294,1.719,17.26,False,pending_release,False,True
R3102120,Lagankhel-Lamatar,,bus,public,Bagmati Yatayat,S0112,S0200,5,8.59,39.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP014,False,OP014,False,8.949,4.947,8.59,False,pending_release,False,True
R3102319,Lagankhel-Tika Bhairab,,bus,public,Bagmati Yatayat,S0112,S0269,7,12.49,58.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP014,False,OP014,False,12.291,6.061,12.49,False,pending_release,False,True
