route_id,stop_id,sequence_no,stop_name
R-SAJHA-03,S0236,16,"NAC (Nepal Airlines Corporation, Kantipath)"
R-SAJHA-03,S0013,17,Ratna Park
R-SAJHA-04,S0200,1,Lamatar
R-SAJHA-04,S0273,2,Dungin
R-SAJHA-04,S0104,3,Lubhu Bus Stop
R-SAJHA-04,S0264,4,Sana Gaun Bus Stop
R-SAJHA-04,S0274,5,"Kamalpokhari (Lamatar-area, distinct from central Kathmandu Kamalpokhari)"
R-SAJHA-04,S0256,6,Imadol Krishna Mandir Road
R-SAJHA-04,S0262,7,Rata Makai Chowk
R-SAJHA-04,S0257,8,KIST Medical College Teaching Hospital
R-SAJHA-04,S0020,9,Gwarko Chowk Stop
R-SAJHA-04,S0011,10,Satdobato Chowk Stop
R-SAJHA-04,S0112,11,Lagankhel Stop
R-SAJHA-04,S0175,12,Jawalakhel
R-SAJHA-04,S0234,13,Pulchowk
R-SAJHA-04,S0237,14,Harihar Bhawan
R-SAJHA-04,S0235,15,Kupandol
R-SAJHA-04,S0056,16,Tripureshwor
R-SAJHA-04,S0236,17,"NAC (Nepal Airlines Corporation, Kantipath)"
R-SAJHA-04,S0152,18,Jamal
R-SAJHA-04,S0149,19,Lazimpat stop
R-SAJHA-04,S0087,20,Lainchaur stop
R-SAJHA-04,S0013,21,Ratna Park
R-SAJHA-05,S0010,1,Thankot
R-SAJHA-05,S0270,2,Tribhuwan Park
R-SAJHA-05,S0119,3,Thankot Checkpost
R-SAJHA-05,S0266,4,Satungal
R-SAJHA-05,S0192,5,Naya Naikap
R-SAJHA-05,S0275,6,Dui Adda (Dhunga Adda)
R-SAJHA-05,S0130,7,Kalanki
R-SAJHA-05,S0263,8,Ravi Bhavan
R-SAJHA-05,S0271,9,Soalteemode West
R-SAJHA-05,S0023,10,Kalimati
R-SAJHA-05,S0276,11,Tek (Teku)
R-SAJHA-05,S0277,12,Vipreshwar (Tripureshwor)
R-SAJHA-05,S0278,13,"N.A.Bh (Nepal Army Headquarters, Bhadrakali)"
R-SAJHA-05,S0013,14,Ratna Park
R-SAJHA-05,S0036,15,Singha Durbar West Stop
R-SAJHA-05,S0097,16,Maitighar
R-SAJHA-05,S0033,17,Bijulibazar Stop
R-SAJHA-05,S0259,18,New Baneshwor East
R-SAJHA-05,S0017,19,Tinkune Stop
R-SAJHA-05,S0139,20,Sinamangal/Ring Road Stop सिनामंगल
R-SAJHA-05,S0240,21,Tribhuvan International Airport
R-SAJHA-06,S0010,1,Thankot
R-SAJHA-06,S0270,2,Tribhuwan Park
R-SAJHA-06,S0119,3,Thankot Checkpost
R-SAJHA-06,S0266,4,Satungal
R-SAJHA-06,S0192,5,Naya Naikap
R-SAJHA-06,S0130,6,Kalanki
R-SAJHA-06,S0246,7,Bafal
R-SAJHA-06,S0090,8,Sitapaila Stop
R-SAJHA-06,S0211,9,Swayambhu Parikarma
R-SAJHA-06,S0212,10,Banasthali
R-SAJHA-06,S0113,11,Balaju
R-SAJHA-06,S0187,12,Samakhusi Stop
R-SAJHA-06,S0065,13,Basundhara
R-SAJHA-06,S0044,14,Narayan Gopal Chowk
R-SAJHA-06,S0238,15,Gangalal Hospital (Shahid Gangalal National Heart Centre)
R-SAJHA-06,S0260,16,Neuro Hospital Bansbari (Upendra Devkota Memorial NINAS)
R-SAJHA-06,S0231,17,Golfutar stop
R-SAJHA-06,S0255,18,Hattigauda
R-SAJHA-06,S0038,19,Deuba Chowk stop
R-SAJHA-06,S0096,20,Budhanilkantha Micro Stand
R-SAJHA-07,S0243,1,Lele
R-SAJHA-07,S0269,2,Tikabhairab Temple
R-SAJHA-07,S0279,3,Takhal
R-SAJHA-07,S0261,4,Pyangaun
R-SAJHA-07,S0216,5,Thecho
R-SAJHA-07,S0244,6,Sunakothi
R-SAJHA-07,S0250,7,Dholahiti
R-SAJHA-07,S0138,8,Khumaltar Stop
R-SAJHA-07,S0248,9,Chapagaun Dobato
R-SAJHA-07,S0112,10,Lagankhel Stop
R-SAJHA-07,S0213,11,Kumaripati
R-SAJHA-07,S0175,12,Jawalakhel
R-SAJHA-07,S0234,13,Pulchowk
R-SAJHA-07,S0237,14,Harihar Bhawan
R-SAJHA-07,S0235,15,Kupandol
R-SAJHA-07,S0056,16,Tripureshwor
R-SAJHA-07,S0236,17,"NAC (Nepal Airlines Corporation, Kantipath)"
R-SAJHA-07,S0152,18,Jamal
R-SAJHA-08,S0242,1,Bungamati
R-SAJHA-08,S0247,2,Bhaisepati
R-SAJHA-08,S0258,3,Nakkhu (bus stop)
R-SAJHA-08,S0214,4,Ekantakuna
R-SAJHA-08,S0112,5,Lagankhel Stop
R-SAJHA-08,S0175,6,Jawalakhel
R-SAJHA-08,S0234,7,Pulchowk
R-SAJHA-08,S0235,8,Kupandol
R-SAJHA-08,S0185,9,Thapathali
R-SAJHA-08,S0036,10,Singha Durbar West Stop
R-SAJHA-08,S0088,11,Bhadrakali
R-SAJHA-08,S0236,12,"NAC (Nepal Airlines Corporation, Kantipath)"
R-SAJHA-08,S0152,13,Jamal
R2276770,S0198,1,Ratnapark(purano bus park)
R2276770,S0086,2,Tourism Board Stop
R2276770,S0088,3,Bhadrakali
R2276770,S0036,4,Singha Durbar West Stop
R2276770,S0097,5,Maitighar
R2276770,S0028,6,Babarmahal
R2276770,S0099,7,Babarmahal Stop West
R2276770,S0034,8,Buddhanagar Stop
R2276770,S0062,9,Babarmahal Stop East
R2276770,S0034,10,Buddhanagar Stop
R2276770,S0069,11,Naya Baneshwor Tampoo Station
R2276770,S0074,12,नयाँ बानेश्वर
R2276770,S0114,13,Baneshwor Bus Station
R2276770,S0029,14,Minbhawan
R2276770,S0127,15,Shantinagar Stop
R2276770,S0017,16,Tinkune Stop
R2276770,S0203,17,Tinkune Subidhanagar
R2276770,S0107,18,Koteshwor Stop
R2276770,S0215,19,Jadibuti Stop
R2276770,S0159,20,Jadibuti
R2276770,S0022,21,Lokanthali North
R2276770,S0004,22,Kaushaltar
R2276770,S0092,23,Gathaghar
R2276770,S0007,24,Chardobato
R2276770,S0021,25,Thimi
R2276999,S0003,1,Shobhabhagwati
R2276999,S0207,2,ASCOL Stop
R2276999,S0193,3,Lainchour Chowk Bus Stop
R2276999,S0152,4,Jamal
R2276999,S0166,5,Kantipath
R2276999,S0137,6,Ghantaghar (घण्टाघर) stop
R2276999,S0042,7,Kamaladi Road (कमलादी) stop
R2276999,S0094,8,Krishna Pauroti Stop
R2276999,S0210,9,Ciy Center Stop
R2276999,S0083,10,Gyaneshwor Chowk
R2276999,S0126,11,Maitidevi Temple stop
R2276999,S0035,12,Maiti Devi chowk
R2276999,S0222,13,Old Baneshwor
R2276999,S0016,14,Bhimsengola stop
R2276999,S0148,15,Sinamangal
R2276999,S0027,16,KMC stop
R2276999,S0139,17,Sinamangal/Ring Road Stop सिनामंगल
R2276999,S0053,18,Gairigaun Stop
R2276999,S0107,19,Koteshwor Stop
R2277212,S0198,1,Ratnapark(purano bus park)
R2277212,S0137,2,Ghantaghar (घण्टाघर) stop
R2277212,S0094,3,Krishna Pauroti Stop
R2277212,S0042,4,Kamaladi Road (कमलादी) stop
R2277212,S0005,5,Putalisadak Stop
R2277212,S0206,6,Putalisadak chowk
R2277212,S0055,7,Dillibazaar stop
R2277212,S0035,8,Maiti Devi chowk
R2277212,S0222,9,Old Baneshwor
R2277212,S0016,10,Bhimsengola stop
R2277212,S0148,11,Sinamangal
R2277212,S0027,12,KMC stop
R2277212,S0139,13,Sinamangal/Ring Road Stop सिनामंगल
R2277212,S0053,14,Gairigaun Stop
R2277212,S0107,15,Koteshwor Stop
R2282031,S0198,1,Ratnapark(purano bus park)
R2282031,S0086,2,Tourism Board Stop
R2282031,S0067,3,Shahid Gate
R2282031,S0076,4,Sundhara Stop
R2282031,S0056,5,Tripureshwor
R2282031,S0023,6,Kalimati
R2282031,S0230,7,Balkhu
R2282031,S0233,8,Balkhu Stop
R2282031,S0225,9,Kumari Club
R2282031,S0043,10,TU Gate
R2282031,S0049,11,Naya Bato
R2282031,S0047,12,Tinkune (Kirtipur side)
R2282031,S0221,13,Naya Bazar
R2282031,S0084,14,Panga Dobato
R2282031,S0085,15,Nagaon Dobato
R2282031,S0041,16,BishnuDevi Health Centre
R2282101,S0040,1,Sundarijal
R2282101,S0140,2,Gokarna Bus Stop
R2282101,S0125,3,Attarkhel
R2282101,S0135,4,Jorpati
R2282101,S0026,5,Boudha
R2282101,S0172,6,Hyatt Regency
R2282101,S0195,7,Chabahil चाबाहील
R2282101,S0052,8,JayaBageshwari Stop
R2282101,S0204,9,Gaushala Chowk Stop
R2282101,S0012,10,Ratopul Stop
R2282101,S0045,11,Ratopul
R2282101,S0083,12,Gyaneshwor Chowk
R2282101,S0210,13,Ciy Center Stop
R2282101,S0094,14,Krishna Pauroti Stop
R2282101,S0042,15,Kamaladi Road (कमलादी) stop
R2282101,S0005,16,Putalisadak Stop
R2282101,S0206,17,Putalisadak chowk
R2282101,S0066,18,Bhrikuti Mandap Stop
R2282101,S0086,19,Tourism Board Stop
R2282101,S0198,20,Ratnapark(purano bus park)
R2294107,S0020,1,Gwarko Chowk Stop
R2294107,S0141,2,Tyogal
R2294107,S0133,3,Saughal
R2294107,S0154,4,Mangalbazar
R2294107,S0227,5,Mahapal
R2294107,S0226,6,Gahabahal
R2294107,S0058,7,Natole
R2294107,S0142,8,UN Stop
R2294107,S0168,9,Jwagal
R2294107,S0063,10,Kupondole stop
R2294107,S0185,11,Thapathali
R2294107,S0132,12,Maitighar Stop--South
R2294107,S0036,13,Singha Durbar West Stop
R2294107,S0088,14,Bhadrakali
R2294107,S0067,15,Shahid Gate
R2294107,S0076,16,Sundhara Stop
R2294107,S0100,17,RNAC stop
R2294107,S0171,18,Bir Hospital
R2294107,S0013,19,Ratna Park
R2294152,S0013,1,Ratna Park
R2294152,S0198,2,Ratnapark(purano bus park)
R2294152,S0086,3,Tourism Board Stop
R2294152,S0088,4,Bhadrakali
R2294152,S0036,5,Singha Durbar West Stop
R2294152,S0097,6,Maitighar
R2294152,S0132,7,Maitighar Stop--South
R2294152,S0185,8,Thapathali
R2294152,S0063,9,Kupondole stop
R2294152,S0168,10,Jwagal
R2294152,S0328,11,Jwagal Chowk
R2294152,S0283,12,Nabil Bank
R2294152,S0284,13,Harihar Bhawan/ Krishna galli
R2294152,S0142,14,UN Stop
R2294152,S0116,15,Damkal
R2294152,S0175,16,Jawalakhel
R2294152,S0103,17,Jawlakhel Stop
R2294152,S0213,18,Kumaripati
R2294152,S0155,19,Patan Hospital
R2294152,S0112,20,Lagankhel Stop
R2294152,S0223,21,Lalitpur Industrial Estate
R2295734,S0013,1,Ratna Park
R2295734,S0166,2,Kantipath
R2295734,S0152,3,Jamal
R2295734,S0193,4,Lainchour Chowk Bus Stop
R2295734,S0087,5,Lainchaur stop
R2295734,S0149,6,Lazimpat stop
R2295734,S0082,7,Panipokhari stop
R2295734,S0124,8,Teaching Hospital stop
R2295734,S0030,9,Chakrapath Stop-- South
R2295734,S0044,10,Narayan Gopal Chowk
R2295734,S0158,11,Bansbari stop
R2295734,S0231,12,Golfutar stop
R2295734,S0038,13,Deuba Chowk stop
R2295734,S0096,14,Budhanilkantha Micro Stand
R2295734,S0176,15,Budhanilkantha Stop
R2295734,S0143,16,Budhanilkantha School Blue Micro Stand
R2295768,S0013,1,Ratna Park
R2295768,S0198,2,Ratnapark(purano bus park)
R2295768,S0086,3,Tourism Board Stop
R2295768,S0088,4,Bhadrakali
R2295768,S0036,5,Singha Durbar West Stop
R2295768,S0097,6,Maitighar
R2295768,S0132,7,Maitighar Stop--South
R2295768,S0185,8,Thapathali
R2295768,S0063,9,Kupondole stop
R2295768,S0168,10,Jwagal
R2295768,S0142,11,UN Stop
R2295768,S0058,12,Natole
R2295768,S0226,13,Gahabahal
R2295768,S0227,14,Mahapal
R2295768,S0154,15,Mangalbazar
R2295902,S0076,1,
R2295902,S0086,2,
R2295902,S0066,3,
R2295902,S0102,4,
R2295902,S0196,5,
R2295902,S0209,6,
R2295902,S0015,7,
R2295902,S0033,8,
R2295902,S0108,9,
R2295902,S0075,10,
R2295902,S0167,11,
R2295902,S0180,12,
R2295902,S0115,13,
R2295902,S0006,14,
R2295903,S0076,1,Sundhara Stop
R2295903,S0100,2,RNAC stop
R2295903,S0171,3,Bir Hospital
R2295903,S0013,4,Ratna Park
R2295903,S0198,5,Ratnapark(purano bus park)
R2295903,S0086,6,Tourism Board Stop
R2295903,S0066,7,Bhrikuti Mandap Stop
R2295903,S0102,8,New Plaza Stop
R2295903,S0196,9,Anamnagar Stop
R2295903,S0209,10,Singha Durbar East Stop
R2295903,S0015,11,Hanumanthan Stop
R2295903,S0033,12,Bijulibazar Stop
R2295903,S0108,13,Thapagaun Stop
R2295903,S0075,14,New Baneshwor West
R2295903,S0091,15,Naya Baneshwor Tempo Stop
R2295903,S0167,16,ShivaDarshan Hall Stop
R2295903,S0180,17,Sangam Chowk Stop
R2295903,S0115,18,Milan Chowk Stop
R2295903,S0006,19,KattyaniChowk Stop
R2295941,S0076,1,Sundhara Stop
R2295941,S0067,2,Shahid Gate
R2295941,S0086,3,Tourism Board Stop
R2295941,S0066,4,Bhrikuti Mandap Stop
R2295941,S0102,5,New Plaza Stop
R2295941,S0196,6,Anamnagar Stop
R2295941,S0209,7,Singha Durbar East Stop
R2295941,S0015,8,Hanumanthan Stop
R2295941,S0033,9,Bijulibazar Stop
R2295941,S0108,10,Thapagaun Stop
R2295941,S0075,11,New Baneshwor West
R2295941,S0091,12,Naya Baneshwor Tempo Stop
R2295941,S0167,13,ShivaDarshan Hall Stop
R2295941,S0059,14,SchEMS
R2295941,S0205,15,Ratna Rajya Stop
R2295942,S0076,1,Sundhara Stop
R2295942,S0100,2,RNAC stop
R2295942,S0171,3,Bir Hospital
R2295942,S0013,4,Ratna Park
R2295942,S0198,5,Ratnapark(purano bus park)
R2295942,S0086,6,Tourism Board Stop
R2295942,S0066,7,Bhrikuti Mandap Stop
R2295942,S0102,8,New Plaza Stop
R2295942,S0196,9,Anamnagar Stop
R2295942,S0209,10,Singha Durbar East Stop
R2295942,S0015,11,Hanumanthan Stop
R2295942,S0033,12,Bijulibazar Stop
R2295942,S0108,13,Thapagaun Stop
R2295942,S0075,14,New Baneshwor West
R2295942,S0091,15,Naya Baneshwor Tempo Stop
R2295942,S0167,16,ShivaDarshan Hall Stop
R2295942,S0059,17,SchEMS
R2295942,S0205,18,Ratna Rajya Stop
R2295942,S0077,19,Apex College Stop
R2295942,S0046,20,Tempo Stop Near Old Baneshwar
R2295974,S0198,1,Ratnapark(purano bus park)
R2295974,S0086,2,Tourism Board Stop
R2295974,S0088,3,Bhadrakali
R2295974,S0036,4,Singha Durbar West Stop
R2295974,S0097,5,Maitighar
R2295974,S0132,6,Maitighar Stop--South
R2295974,S0185,7,Thapathali
R2295974,S0063,8,Kupondole stop
R2295974,S0168,9,Jwagal
R2295974,S0142,10,UN Stop
R2295974,S0116,11,Damkal
R2295974,S0175,12,Jawalakhel
R2295974,S0103,13,Jawlakhel Stop
R2295974,S0213,14,Kumaripati
R2295974,S0155,15,Patan Hospital
R2295974,S0112,16,Lagankhel Stop
R2295974,S0223,17,Lalitpur Industrial Estate
R2295974,S0219,18,Lagankhel
R2295974,S0194,19,Batuk Bhairav
R2295974,S0011,20,Satdobato Chowk Stop
R2295974,S0216,21,Thecho
R2295974,S0060,22,Chapagaun
R2295974,S0037,23,Tika Bhairab
R2295986,S0018,1,Sankhamul Stop
R2295986,S0074,2,नयाँ बानेश्वर
R2295986,S0114,3,Baneshwor Bus Station
R2295986,S0069,4,Naya Baneshwor Tampoo Station
R2295986,S0062,5,Babarmahal Stop East
R2295986,S0034,6,Buddhanagar Stop
R2295986,S0028,7,Babarmahal
R2295986,S0099,8,Babarmahal Stop West
R2295986,S0097,9,Maitighar
R2295986,S0036,10,Singha Durbar West Stop
R2295986,S0088,11,Bhadrakali
R2295986,S0086,12,Tourism Board Stop
R2295986,S0198,13,Ratnapark(purano bus park)
R2295986,S0013,14,Ratna Park
R2295986,S0171,15,Bir Hospital
R2295986,S0100,16,RNAC stop
R2295986,S0076,17,Sundhara Stop
R2301161,S0101,1,MAV School
R2301161,S0011,2,Satdobato Chowk Stop
R2301161,S0219,3,Lagankhel
R2301161,S0194,4,Batuk Bhairav
R2301161,S0112,5,Lagankhel Stop
R2301161,S0223,6,Lalitpur Industrial Estate
R2301161,S0155,7,Patan Hospital
R2301161,S0213,8,Kumaripati
R2301161,S0103,9,Jawlakhel Stop
R2301161,S0175,10,Jawalakhel
R2301161,S0116,11,Damkal
R2301161,S0142,12,UN Stop
R2301161,S0168,13,Jwagal
R2301161,S0063,14,Kupondole stop
R2301161,S0185,15,Thapathali
R2301161,S0132,16,Maitighar Stop--South
R2301161,S0036,17,Singha Durbar West Stop
R2301161,S0088,18,Bhadrakali
R2301161,S0067,19,Shahid Gate
R2301161,S0076,20,Sundhara Stop
R2301161,S0100,21,RNAC stop
R2301161,S0171,22,Bir Hospital
R2301161,S0166,23,Kantipath
R2301161,S0152,24,Jamal
R2301161,S0137,25,Ghantaghar (घण्टाघर) stop
R2301161,S0198,26,Ratnapark(purano bus park)
R2301205,S0198,1,Ratnapark(purano bus park)
R2301205,S0086,2,Tourism Board Stop
R2301205,S0067,3,Shahid Gate
R2301205,S0076,4,Sundhara Stop
R2301205,S0100,5,RNAC stop
R2301205,S0171,6,Bir Hospital
R2301205,S0166,7,Kantipath
R2301205,S0152,8,Jamal
R2301205,S0193,9,Lainchour Chowk Bus Stop
R2301205,S0087,10,Lainchaur stop
R2301205,S0149,11,Lazimpat stop
R2301205,S0082,12,Panipokhari stop
R2301205,S0124,13,Teaching Hospital stop
R2301205,S0030,14,Chakrapath Stop-- South
R2301205,S0044,15,Narayan Gopal Chowk
R2301205,S0158,16,Bansbari stop
R2301205,S0231,17,Golfutar stop
R2301205,S0038,18,Deuba Chowk stop
R2301205,S0096,19,Budhanilkantha Micro Stand
R2301205,S0176,20,Budhanilkantha Stop
R2301205,S0144,21,Shivapuri Park Stop
R2301206,S0198,1,Ratnapark(purano bus park)
R2301206,S0137,2,Ghantaghar (घण्टाघर) stop
R2301206,S0152,3,Jamal
R2301206,S0166,4,Kantipath
R2301206,S0193,5,Lainchour Chowk Bus Stop
R2301206,S0087,6,Lainchaur stop
R2301206,S0149,7,Lazimpat stop
R2301206,S0082,8,Panipokhari stop
R2301206,S0124,9,Teaching Hospital stop
R2301206,S0030,10,Chakrapath Stop-- South
R2301206,S0044,11,Narayan Gopal Chowk
R2301206,S0158,12,Bansbari stop
R2301206,S0231,13,Golfutar stop
R2301206,S0038,14,Deuba Chowk stop
R2301206,S0096,15,Budhanilkantha Micro Stand
R2301206,S0176,16,Budhanilkantha Stop
R2301206,S0144,17,Shivapuri Park Stop
R2301263,S0174,1,Naya Bus Park
R2301263,S0169,2,Gongabu Chowk
R2301263,S0187,3,Samakhusi Stop
R2301263,S0065,4,Basundhara
R2301263,S0030,5,Chakrapath Stop-- South
R2301263,S0044,6,Narayan Gopal Chowk
R2301263,S0109,7,Chapal Karkhana stop
R2301263,S0118,8,Dhumbarahi
R2301263,S0217,9,Sukedhara Stop
R2301263,S0134,10,Gopi Krishna Stop
R2301263,S0195,11,Chabahil चाबाहील
R2301263,S0052,12,JayaBageshwari Stop
R2301263,S0204,13,Gaushala Chowk Stop
R2301263,S0071,14,पिङ्गलस्थान
R2301263,S0070,15,Airport Bus Station
R2301263,S0139,16,Sinamangal/Ring Road Stop सिनामंगल
R2301263,S0053,17,Gairigaun Stop
R2301263,S0107,18,Koteshwor Stop
R2301263,S0024,19,Balkumari Stop
R2301263,S0220,20,Balkumari Bridge Stop
R2301263,S0020,21,Gwarko Chowk Stop
R2301263,S0182,22,B & B Hospital/KCM Stop
R2301263,S0011,23,Satdobato Chowk Stop
R2301263,S0214,24,Ekantakuna
R2301263,S0106,25,Nakhu Stop
R2301263,S0189,26,Sanepa height
R2301263,S0230,27,Balkhu
R2301263,S0233,28,Balkhu Stop
R2301263,S0064,29,Khasibazaar
R2301263,S0130,30,Kalanki
R2301263,S0090,31,Sitapaila Stop
R2301263,S0162,32,Thulo Bharang Stop
R2301263,S0228,33,Dhungedhara
R2301263,S0212,34,Banasthali
R2301263,S0113,35,Balaju
R2301306,S0024,1,Balkumari Stop
R2301306,S0220,2,Balkumari Bridge Stop
R2301306,S0107,3,Koteshwor Stop
R2301306,S0017,4,Tinkune Stop
R2301306,S0203,5,Tinkune Subidhanagar
R2301306,S0127,6,Shantinagar Stop
R2301306,S0029,7,Minbhawan
R2301306,S0114,8,Baneshwor Bus Station
R2301306,S0074,9,नयाँ बानेश्वर
R2301306,S0075,10,New Baneshwor West
R2301306,S0091,11,Naya Baneshwor Tempo Stop
R2301306,S0108,12,Thapagaun Stop
R2301306,S0033,13,Bijulibazar Stop
R2301306,S0015,14,Hanumanthan Stop
R2301306,S0209,15,Singha Durbar East Stop
R2301306,S0196,16,Anamnagar Stop
R2301306,S0102,17,New Plaza Stop
R2301306,S0005,18,Putalisadak Stop
R2301306,S0206,19,Putalisadak chowk
R2301306,S0042,20,Kamaladi Road (कमलादी) stop
R2301306,S0094,21,Krishna Pauroti Stop
R2301306,S0188,22,Gairidhara
R2301306,S0051,23,Tangal
R2301306,S0197,24,Police Headquarter Stop
R2301306,S0105,25,Bhatbhatini Stop
R2301306,S0068,26,Baluwatar
